X,Y,TNT_NAME,activity_type,address,date_fixed,latitude,longitude,repair_type,truck_name,FID
-8473617.67966532,5320878.72763081,Eastwood,    Accessory On,511 ROBINSON ST & HIXSON AVE                      ,2018/06/29 08:11:15+00,43.0584891108612,-76.1198027342875,STREET REPAIR,DP1             ,3024
-8473612.58123123,5320883.23735014,Eastwood,    Accessory On,511 ROBINSON ST & HIXSON AVE                      ,2018/06/29 08:12:37+00,43.0585187108684,-76.1197569342748,STREET REPAIR,DP1             ,3025
-8473627.79861008,5320874.23314892,Eastwood,    Accessory On,511 ROBINSON ST & HIXSON AVE                      ,2018/06/29 08:14:42+00,43.0584596108522,-76.1198936343149,STREET REPAIR,DP1             ,3026
-8473628.18822866,5320878.69715918,Eastwood,    Accessory On,511 ROBINSON ST & HIXSON AVE                      ,2018/06/29 08:16:25+00,43.0584889108575,-76.1198971343182,STREET REPAIR,DP1             ,3027
-8473630.85989694,5320871.73452277,Eastwood,    Accessory On,511 ROBINSON ST & HIXSON AVE                      ,2018/06/29 08:18:08+00,43.0584432108482,-76.1199211343227,STREET REPAIR,DP1             ,3028
-8479616.32135567,5315927.51583198,Southside,    Accessory On,121 TWIN HILLS DR & STINARD A                     ,2018/06/29 09:42:47+00,43.0259827028006,-76.1736894494315,STREET REPAIR,DP1             ,3029
-8479626.3957734,5315938.00755963,Southside,    Accessory On,650-52 STINARD AVE                                ,2018/06/29 09:43:25+00,43.0260516028098,-76.1737799494658,STREET REPAIR,DP1             ,3030
-8479619.32698422,5315952.64118024,Southside,    Accessory On,648 STINARD AVE                                   ,2018/06/29 09:44:46+00,43.0261477028299,-76.1737164494521,STREET REPAIR,DP1             ,3031
-8479613.14875,5315943.58081987,Southside,    Accessory On,659 STINARD AVE                                   ,2018/06/29 09:46:13+00,43.0260882028211,-76.1736609494298,STREET REPAIR,DP1             ,3032
-8479620.0839579,5315969.69600065,Southside,    Accessory On,644 STINARD AVE                                   ,2018/06/29 09:48:20+00,43.0262597028502,-76.1737232494624,STREET REPAIR,DP1             ,3033
-8479621.8094105,5315968.46257054,Southside,    Accessory On,648 STINARD AVE                                   ,2018/06/29 09:49:04+00,43.0262516028481,-76.1737387494668,STREET REPAIR,DP1             ,3034
-8479618.18039376,5315965.4170652,Southside,    Accessory On,648 STINARD AVE                                   ,2018/06/29 09:51:02+00,43.0262316028457,-76.1737061494548,STREET REPAIR,DP1             ,3035
-8479619.19340232,5315981.80189659,Southside,    Accessory On,644 STINARD AVE                                   ,2018/06/29 09:54:39+00,43.0263392028651,-76.1737152494655,STREET REPAIR,DP1             ,3036
-8479617.79077684,5315992.41550634,Southside,    Accessory On,647 STINARD AVE                                   ,2018/06/29 09:55:15+00,43.0264089028784,-76.1737026494664,STREET REPAIR,DP1             ,3037
-8479623.22317386,5316070.53326224,Southside,    Accessory On,626 STINARD AVE                                   ,2018/06/29 09:57:41+00,43.0269219029709,-76.1737514495192,STREET REPAIR,DP1             ,3038
-8479621.88733995,5316078.37552925,Southside,    Accessory On,627 STINARD AVE                                   ,2018/06/29 10:00:06+00,43.0269734029808,-76.173739449519,STREET REPAIR,DP1             ,3039
-8470660.47651298,5322408.66824057,,    Accessory On,121 RIDGEWOOD DR                                  ,2018/07/02 04:39:22+00,43.0685302137333,-76.0932377263876,STREET REPAIR,DP1             ,3040
-8470659.57482488,5322409.96347319,,    Accessory On,121 RIDGEWOOD DR                                  ,2018/07/02 04:39:47+00,43.0685387137352,-76.0932296263856,STREET REPAIR,DP1             ,3041
-8470662.44686893,5322414.71774004,,    Accessory On,121 RIDGEWOOD DR                                  ,2018/07/02 04:40:13+00,43.0685699137399,-76.0932554263962,STREET REPAIR,DP1             ,3042
-8470664.45062043,5322415.09869092,,    Accessory On,121 RIDGEWOOD DR                                  ,2018/07/02 04:40:58+00,43.0685724137397,-76.0932734264022,STREET REPAIR,DP1             ,3043
-8470664.59533618,5322422.13866793,,    Accessory On,111 RIDGEWOOD DR                                  ,2018/07/02 04:41:25+00,43.0686186137481,-76.093274726406,STREET REPAIR,DP1             ,3044
-8470668.9590639,5322465.11007104,,    Accessory On,3702 JAMES ST                                     ,2018/07/02 04:43:33+00,43.0689006137984,-76.0933139264389,STREET REPAIR,DP1             ,3045
-8470668.01285172,5322537.43047498,,    Accessory On,********** JAMES ST                               ,2018/07/02 04:45:48+00,43.0693752138859,-76.0933054264703,STREET REPAIR,DP1             ,3046
-8470663.25950799,5322538.75620215,,    Accessory On,********** JAMES ST                               ,2018/07/02 04:49:12+00,43.0693839138891,-76.0932627264571,STREET REPAIR,DP1             ,3047
-8470660.9106661,5322541.30098896,,    Accessory On,********** JAMES ST                               ,2018/07/02 04:49:41+00,43.0694006138931,-76.0932416264514,STREET REPAIR,DP1             ,3048
-8470658.90691472,5322543.17529346,,    Accessory On,********** JAMES ST                               ,2018/07/02 04:50:32+00,43.069412913896,-76.0932236264465,STREET REPAIR,DP1             ,3049
-8470642.33143735,5322546.83247475,,    Accessory On,********** JAMES ST                               ,2018/07/02 04:51:34+00,43.0694369139062,-76.0930747263999,STREET REPAIR,DP1             ,3050
-8470563.20551532,5322503.29688679,,    Accessory On,103 JAMES ST                                      ,2018/07/02 04:54:58+00,43.0691512138811,-76.0923639261486,STREET REPAIR,DP1             ,3051
-8470562.03666003,5322498.40543118,,    Accessory On,103 JAMES ST                                      ,2018/07/02 04:55:47+00,43.0691191138756,-76.0923534261429,STREET REPAIR,DP1             ,3052
